dataset,category,seed,fallback_budget,fast_only_auroc,risk_auroc,random_auroc,fast_score_auroc,uncertainty_auroc,fast_only_recall,risk_recall,random_recall,fast_score_recall,uncertainty_recall,risk_delta,risk_recall_delta,risk_minus_fast_score,risk_minus_uncertainty,fallback_rate,fallback_count,total
MVTec,zipper,29,0.1,0.9133403361344538,0.8579306722689075,0.8264180672268907,0.9133403361344538,0.8952205882352942,0.7394957983193278,0.05042016806722689,0.10084033613445378,0.7394957983193278,0.7310924369747899,0.031512605042016806,-0.05042016806722689,-0.055409663865546244,-0.037289915966386644,0.10596026490066225,16,151
MVTec,bottle,5,0.25,0.9523809523809523,0.9865079365079366,0.7087301587301588,0.9523809523809523,0.9563492063492064,0.7142857142857143,0.9841269841269841,0.2222222222222222,0.7142857142857143,0.7619047619047619,0.2777777777777778,0.7619047619047619,0.03412698412698423,0.030158730158730163,0.25301204819277107,21,83
MVTec,cable,5,0.25,0.8002248875562219,0.8585082458770614,0.7473763118440779,0.8079085457271364,0.7822338830584707,0.2826086956521739,0.7065217391304348,0.2826086956521739,0.3695652173913043,0.34782608695652173,0.11113193403298349,0.4239130434782609,0.05059970014992499,0.07627436281859068,0.25333333333333335,38,150
MVTec,capsule,5,0.25,0.7351416035101715,0.7112086158755485,0.6358197048264859,0.7407259672915836,0.5951336258476266,0.22018348623853212,0.3211009174311927,0.24770642201834864,0.26605504587155965,0.2018348623853211,0.07538891104906265,0.07339449541284404,-0.029517351416035065,0.11607499002792188,0.25,33,132
MVTec,carpet,5,0.25,0.5256821829855538,0.9141252006420546,0.5393258426966292,0.5666131621187801,0.6528892455858748,0.056179775280898875,0.8764044943820225,0.23595505617977527,0.20224719101123595,0.34831460674157305,0.3747993579454254,0.6404494382022472,0.3475120385232745,0.2612359550561798,0.2564102564102564,30,117
MVTec,grid,5,0.25,0.5672514619883041,0.6073517126148705,0.6299081035923141,0.5655806182121972,0.5781119465329991,0.14035087719298245,0.24561403508771928,0.22807017543859648,0.14035087719298245,0.2807017543859649,-0.022556390977443552,0.017543859649122806,0.04177109440267335,0.0292397660818714,0.2564102564102564,20,78
MVTec,hazelnut,5,0.25,0.9057142857142857,0.9807142857142858,0.7425,0.9057142857142857,0.93,0.6428571428571429,0.9428571428571428,0.2571428571428571,0.6428571428571429,0.7428571428571429,0.2382142857142857,0.6857142857142857,0.07500000000000007,0.05071428571428571,0.2545454545454545,28,110
MVTec,leather,5,0.25,0.9059103260869565,0.9996603260869565,0.7809103260869565,0.9059103260869565,0.9228940217391305,0.6847826086956522,1.0,0.25,0.6847826086956522,0.7391304347826086,0.21875,0.75,0.09375,0.07676630434782605,0.25,31,124
MVTec,metal_nut,5,0.25,0.7634408602150538,0.9257086999022482,0.7575757575757576,0.7634408602150538,0.6984359726295211,0.41935483870967744,0.8709677419354839,0.24731182795698925,0.41935483870967744,0.25806451612903225,0.16813294232649068,0.6236559139784946,0.1622678396871945,0.22727272727272718,0.25217391304347825,29,115
MVTec,pill,5,0.25,0.7525913802509547,0.6377523186033824,0.6696672122204037,0.7555919258046918,0.662847790507365,0.3049645390070922,0.3049645390070922,0.2198581560283688,0.3049645390070922,0.16312056737588654,-0.03191489361702127,0.08510638297872339,-0.11783960720130937,-0.025095471903982536,0.25149700598802394,42,167
MVTec,screw,5,0.25,0.5203935232629637,0.45460135273621644,0.5076860012297602,0.5453986472637835,0.6323017011682722,0.025210084033613446,0.17647058823529413,0.15966386554621848,0.21008403361344538,0.2773109243697479,-0.05308464849354372,0.016806722689075654,-0.09079729452756707,-0.1777003484320558,0.25,40,160
MVTec,tile,5,0.25,0.9076479076479076,0.9859307359307359,0.7997835497835498,0.9076479076479076,0.9087301587301587,0.7261904761904762,0.9761904761904762,0.27380952380952384,0.7261904761904762,0.7380952380952381,0.18614718614718606,0.7023809523809523,0.07828282828282829,0.07720057720057716,0.2564102564102564,30,117
MVTec,toothbrush,5,0.25,0.9777777777777777,0.825,0.8722222222222222,0.9777777777777777,0.875,0.9,0.36666666666666664,0.26666666666666666,0.9,0.3,-0.047222222222222276,0.09999999999999998,-0.1527777777777778,-0.050000000000000044,0.2619047619047619,11,42
MVTec,transistor,5,0.25,0.8583333333333333,0.79625,0.7545833333333334,0.8579166666666667,0.6683333333333333,0.525,0.5,0.325,0.525,0.1,0.04166666666666663,0.175,-0.06166666666666665,0.12791666666666668,0.25,25,100
MVTec,wood,5,0.25,0.7263157894736842,0.9842105263157894,0.6552631578947369,0.7263157894736842,0.7578947368421053,0.43333333333333335,0.8833333333333333,0.25,0.43333333333333335,0.5166666666666667,0.32894736842105254,0.6333333333333333,0.2578947368421052,0.22631578947368414,0.25316455696202533,20,79
MVTec,zipper,5,0.25,0.9178046218487395,0.7166491596638656,0.7694327731092437,0.9178046218487395,0.789390756302521,0.7563025210084033,0.226890756302521,0.24369747899159663,0.7563025210084033,0.2605042016806723,-0.052783613445378186,-0.016806722689075626,-0.2011554621848739,-0.07274159663865543,0.25165562913907286,38,151
MVTec,bottle,17,0.25,0.9515873015873015,0.9857142857142858,0.926984126984127,0.9515873015873015,0.9555555555555556,0.6984126984126984,0.9841269841269841,0.31746031746031744,0.6984126984126984,0.746031746031746,0.058730158730158744,0.6666666666666666,0.03412698412698423,0.030158730158730163,0.25301204819277107,21,83
MVTec,cable,17,0.25,0.787856071964018,0.8601949025487257,0.6922788605697151,0.7968515742128935,0.7455022488755623,0.2717391304347826,0.7282608695652174,0.2608695652173913,0.3695652173913043,0.32608695652173914,0.16791604197901056,0.4673913043478261,0.06334332833583212,0.11469265367316339,0.25333333333333335,38,150
MVTec,capsule,17,0.25,0.7287594734742721,0.7120063821300359,0.6769046669325888,0.7319505384922218,0.6146788990825688,0.23853211009174313,0.21100917431192662,0.24770642201834864,0.27522935779816515,0.21100917431192662,0.03510171519744709,-0.03669724770642202,-0.01994415636218594,0.09732748304746708,0.25,33,132
MVTec,carpet,17,0.25,0.5212680577849117,0.9289727126805778,0.5674157303370787,0.562199036918138,0.6500802568218299,0.056179775280898875,0.898876404494382,0.23595505617977527,0.20224719101123595,0.34831460674157305,0.3615569823434991,0.6629213483146067,0.3667736757624398,0.2788924558587479,0.2564102564102564,30,117
MVTec,grid,17,0.25,0.46365914786967416,0.5923141186299081,0.46867167919799496,0.48955722639933164,0.5605680868838764,0.05263157894736842,0.3684210526315789,0.19298245614035087,0.12280701754385964,0.3157894736842105,0.12364243943191316,0.17543859649122806,0.10275689223057649,0.031746031746031744,0.2564102564102564,20,78
MVTec,hazelnut,17,0.25,0.9178571428571428,0.9846428571428572,0.6960714285714286,0.9178571428571428,0.9339285714285714,0.6714285714285714,0.9714285714285714,0.21428571428571427,0.6714285714285714,0.7285714285714285,0.2885714285714286,0.7571428571428571,0.06678571428571434,0.05071428571428571,0.2545454545454545,28,110
